Estación,Ubicación
Dos de Mayo Norte, google.com/maps/place/Estación+2+de+Mayo+(Norte)/@-12.0458139,-77.0429078,21z/data=!4m6!3m5!1s0x9105c8cdc5e4e923:0x95c0b83064a18d49!8m2!3d-12.0457683!4d-77.0427571!16s%2Fg%2F11hbnytms7?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D
Dos de Mayo Sur,https://www.google.com/maps/place/2+de+Mayo+-+Embarque+Sur+2/@-12.0471855,-77.0428032,21z/data=!4m14!1m7!3m6!1s0x9105cf3010017503:0x1923b0c9eb4f3427!2sEstaci%C3%B3n+Parque+del+Trabajo!8m2!3d-12.0303952!4d-77.0443422!16s%2Fg%2F11bbt0ykm2!3m5!1s0x9105c8cdda920321:0x5a9006b98dce9055!8m2!3d-12.0471913!4d-77.0427055!16s%2Fg%2F1q646n233?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D
Tacna Norte, https://www.google.com/maps/place/Estaci%C3%B3n+Tacna/@-12.0461485,-77.0383934,18.8z/data=!4m6!3m5!1s0x9105c8cbe6fe1335:0x5b16315a52e4389f!8m2!3d-12.0461698!4d-77.0379215!16s%2Fg%2F11rk0bvl37?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D
Tacna Sur,https://www.google.com/maps/place/Estaci%C3%B3n+Tacna+-+Metropolitano/@-12.0464877,-77.0373501,21z/data=!4m6!3m5!1s0x9105c96e8d08af67:0xf762ab231531458e!8m2!3d-12.0465251!4d-77.0372168!16s%2Fg%2F11rjzb4tvj?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D
Quilca,https://www.google.com/maps/place/Estaci%C3%B3n+Quilca/@-12.0519273,-77.0424271,21z/data=!4m6!3m5!1s0x9105c8cfa17d206f:0xda6ab37efe6f17e8!8m2!3d-12.0519234!4d-77.0422796!16s%2Fg%2F1q643hckm?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D
Jirón de la Unión Norte,https://www.google.com/maps/place/Estaci%C3%B3n+Jir%C3%B3n+De+La+Uni%C3%B3n/@-12.0492697,-77.0329089,21z/data=!4m6!3m5!1s0x9105c8b62cdd0d31:0xaccfaeb154e1c20f!8m2!3d-12.0491792!4d-77.0328966!16s%2Fg%2F11c37ssx7t?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D
Jirón de la Unión Sur,-12.04869991343665, -77.03374690607168
España,https://www.google.com/maps/place/Estacion+Espa%C3%B1a/@-12.05673,-77.0419821,19.8z/data=!4m6!3m5!1s0x9105c94091e2d373:0x30820a477d3cf269!8m2!3d-12.056744!4d-77.0418486!16s%2Fg%2F11rwmjwk0d?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D
Colmena,https://www.google.com/maps/place/Estaci%C3%B3n+Colmena/@-12.0524038,-77.0329616,20.6z/data=!4m6!3m5!1s0x9105c8b803726951:0xe4b7b2b8a343555a!8m2!3d-12.0523087!4d-77.0328374!16s%2Fg%2F11wqv4yt5h?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D
Estación Central,https://www.google.com/maps/place/Estaci%C3%B3n+Central+-+Metropolitano/@-12.0582429,-77.0367416,18z/data=!4m6!3m5!1s0x9105c8cdda80c89f:0x72f36f73288e6d78!8m2!3d-12.0576958!4d-77.0359527!16s%2Fg%2F11dzz_wy0l?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D
Estadio Nacional,https://www.google.com/maps/place/Estaci%C3%B3n+Estadio+Nacional/@-12.0689748,-77.0322467,20.2z/data=!4m6!3m5!1s0x9105c894a0fc6efd:0x2dd930f1b1a41225!8m2!3d-12.0688642!4d-77.0319942!16s%2Fg%2F11bbsypjn8?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D
México,https://www.google.com/maps/place/Estaci%C3%B3n+M%C3%A9xico+-+Metropolitano/@-12.0729496,-77.0326813,16.8z/data=!4m6!3m5!1s0x9105c88dcb0978ef:0xc3a317d66701042d!8m2!3d-12.0766412!4d-77.0289771!16s%2Fg%2F1q66p8pg4?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D
Canadá,https://www.google.com/maps/place/Estaci%C3%B3n+Canad%C3%A1/@-12.082385,-77.0271593,19.2z/data=!4m6!3m5!1s0x9105c88976868bed:0xd3ac3bff8bedf003!8m2!3d-12.0822429!4d-77.0266711!16s%2Fg%2F1q67j9t0q?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D
Javier Prado,https://www.google.com/maps/place/Estaci%C3%B3n+Javier+Prado/@-12.0892673,-77.0237823,20.4z/data=!4m6!3m5!1s0x9105c864a71795c5:0x56a8781cda902851!8m2!3d-12.0892872!4d-77.0235469!16s%2Fg%2F1tpf85pq?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D
