codigo_antiguo,codigo_nuevo,distrito_origen,distrito_destino,empresa_operadora,empresa_abrev,alias,color_hex,estado
7302,,Chorrillos,San Juan de Lurigancho,San Pedro,,La 31,#FF0303,Inactiva
7401,,San Juan de Miraflores,Ate,Primero de Noviembre,,Desconocido,#FF0505,Inactiva
7402,,Chorrillos,Santa Anita,San Genaro,ETSEMUSAGESA,Desconocido,#C4100A,Inactiva
7403,,Chorrillos,Cieneguilla,Servicio de Transportistas José Olaya,ESTJOSA,Desconocido,#00AAFF,Activa
7501,,Chorrillos,Jesús María,Unidos,ETUSA,Desconocido,#90333B,Activa
7502,,San Juan de Miraflores,Lima,Múltiples Star,,Desconocido,#FFDFBF,Inactiva
7503,,Chorrillos,Lima,Unidos Chama,,Desconocido,#FF0000,Inactiva
7504,,San Juan de Miraflores,San Miguel,La Unidad de Villa,,Desconocido,#00DB34,Activa
7505,,Chorrillos,Lima,Renacimiento,SGTRENSA,Desconocido,#7CFF0A,Activa
7506,,San Juan de Miraflores,Magdalena del Mar,Unidos Doce de Noviembre,ETUSA,Desconocido,#0016A3,Inactiva
7601,,San Juan de Miraflores,Lince,ATCRSA,ATCRSA,Desconocido,#E80202,Activa
7602,,San Juan de Miraflores,Miraflores,Unidos Doce de Noviembre,ETUSA,Desconocido,#0016A3,Inactiva
7603,,Santiago de Surco,San Isidro,Miraflores Monterrico,ETMIMSA,Desconocido,#1E2C82,Inactiva
7604,,Chorrillos,Miraflores,Servicio de Transportistas José Olaya,ESTJOSA,Desconocido,#00AAFF,Inactiva
7605,,Chorrillos,La Victoria,San Genaro,ETSEMUSAGESA,Desconocido,#C4100A,Inactiva
7606,,Chorrillos,San Isidro,Unidos Chama,,Desconocido,#E00202,Activa
7607,,San Juan de Miraflores,La Victoria,160,,Desconocido,#1465A3,Activa
7608,,San Juan de Miraflores,La Victoria,Roosevelt,,Desconocido,#27C716,Inactiva
7609,,San Juan de Miraflores,La Victoria,Especiales Santa María,,Desconocido,#1FA112,Inactiva
7610,,Chorrillos,La Victoria,San Genaro,ETSEMUSAGESA,Desconocido,#C4100A,Activa
7611,,San Juan de Miraflores,La Victoria,Primero de Noviembre,,Desconocido,#FF0505,Inactiva
7612,,San Juan de Miraflores,San Isidro,Sur Primero de Junio,ETPRIJUSAC,Desconocido,#0F0F0F,Activa
7613,,San Juan de Miraflores,Miraflores,Unidos Doce de Noviembre,ETUSA,Desconocido,#0016A3,Activa
7614,,Chorrillos,Miraflores,Servicios Turismo e Inversiones Norteamérica,,Desconocido,#0DBD7C,Activa
7701,,Chorrillos,Chorrillos,Translima,,Desconocido,#157A82,Activa
7702,,Chorrillos,San Juan de Miraflores,Turismo San Juanito,,Desconocido,#E61C1C,Activa
7703,,San Juan de Miraflores,Chorrillos,Preferencial San Juanito,,Desconocido,#E61C1C,Activa
7704,,San Juan de Miraflores,Surquillo,Sur Primero de Junio,ETPRIJUSAC,Desconocido,#3C3431,Inactiva
7705,,San Juan de Miraflores,Chorrillos,Tablada,EMTRATASA,Desconocido,#FF00FF,Activa
7706,,Chorrillos,San Juan de Miraflores,Unidos Doce de Noviembre,ETUSA,Desconocido,#0006B0,Activa
7707,,Chorrillos,San Juan de Miraflores,Comercializadora e Importadora Mártir Olaya,ETCIMOSA,Desconocido,#006911,Activa
7708,,Chorrillos,San Juan de Miraflores,San Genaro,ETSEMUSAGESA,Desconocido,#570707,Activa
7709,,Villa María del Triunfo,Chorrillos,La Unidad de Villa,,Desconocido,#00C92F,Activa
7710,,¿?,¿?,Desconocido,,Desconocido,#FFFFFF,
7711,,San Juan de Miraflores,Chorrillos,Service Canadá,,Desconocido,#FF6600,Inactiva
7795,,San Juan de Miraflores,San Juan de Miraflores,Transporte Inversiones Multiplicando Esperanzas,,Desconocido,#FFF1FF,Inactiva
7799,,Chorrillos,Chorrillos,San Genaro,ETSEMUSAGESA,Desconocido,#094213,Activa
7801,,San Juan de Miraflores,Villa el Salvador,San Juan,,Desconocido,#EB0505,Activa
