codigo_antiguo,codigo_nuevo,distrito_origen,distrito_destino,empresa_operadora,empresa_abrev,alias,color_hex,estado
8307,,Villa María Del Triunfo,San Juan de Lurigancho,Urbano el Paraiso,ETUPSA,Desconocido,#E3C634,Inactiva
8308,,Lurín,San Juan de Lurigancho,Urbano Línea 4,ETUL4SA,Desconocido,#E3B03F,Activa
8401,,Lurín,Cieneguilla,18 de Enero,ETSDESA,Desconocido,#FFA200,Activa
8402,,Pachacámac,Ate,Los Laureles de Manchay,,Desconocido,#05C5FF,Activa
8403,,Villa María del Triunfo,Ate,Luis Banchero Rossi,LUBARSA,Desconocido,#F4F78F,Activa
8404,,Villa María del Triunfo,Huaycán,Urbano Línea 4,ETUL4SA,Desconocido,#E3B03F,Activa
8405,,Villa El Salvador,Huaycán,Santa Catalina,ESTSACASA,Desconocido,#0C5700,Inactiva
8406,,Lurín,Lurigancho/Chosica,Urbano Línea 4,ETUL4SA,Desconocido,#E3B03F,Activa
8501,,Villa El Salvador,San Miguel,Rápido Universal,TRUSAC,Desconocido,#FFD817,Inactiva
8502,,Villa María del Triunfo,Lima,San Juan 108,ETCOSA,Desconocido,#0C00B3,Activa
8503,,Villa María del Triunfo,Lima,Red Lima Móvil,,Desconocido,#179AFF,Activa
8504,,San Bartolo,San Miguel,San José,ETSAJOSA,Desconocido,#3D2D1D,Activa
8505,,Pachacámac,Breña,Guadulfo Silva Carvajal,ETGUSICSA,Desconocido,#731515,Activa
8506,,Pachacámac,Lima,San Judas Tadeo,,Desconocido,#E6DBB8,Activa
8507,,Villa María del Triunfo,San Miguel,San Judas Tadeo,,Desconocido,#FFEFC7,Activa
8508,,Pucusana,Lima,Royal Express,,Desconocido,#FBFBFB,Activa
8509,,Villa El Salvador,Los Olivos,Salvador,ETSSSAC,Desconocido,#00EEFF,Inactiva
8510,,San Bartolo,San Miguel,Guadulfo Silva Carbajal,ETGUSICSA,Desconocido,#660000,Activa
8511,,Pucusana,San Miguel,Guadulfo Silva Carbajal,ETGUSICSA,Desconocido,#660000,Activa
8512,,Chorrillos,Lima,Renacimiento,SGTRENSA,Desconocido,#68D608,Inactiva
8513,,Villa El Salvador,Lima,Montenegro,ETMOSAC,Desconocido,#59D3FF,Activa
8514,,Villa María del Triunfo,Jesús María,Unidos de Pasajeros,ETUPSA,Desconocido,#ACCB56,Inactiva
8515,,Villa María del Triunfo,Lima,Capitales Peruanos,ETCAPESA,Desconocido,#27C716,Inactiva
8516,,Lurín,Lima,Urbano Línea 4,ETUL4SA,Desconocido,#E3B03F,Inactiva
8517,,Pachacámac,Lima,Unidos Chama,,Desconocido,#DF3322,Inactiva
8518,,Villa El Salvador,San Miguel,Las Águilas 75,ETLA75SA,Desconocido,#FF0F0F,Inactiva
8519,,Villa María del Triunfo,Lima,Santa Catalina,ESTSACASA,Desconocido,#0C5700,Inactiva
8520,,Villa el Salvador,Lima,Santa Catalina,ESTSACASA,Desconocido,#0C5700,Activa
8521,,Villa El Salvador,San Miguel,Huáscar,,Desconocido,#D91212,Activa
8522,,Villa María del Triunfo,Jesús María,Especial Solidaridad,EMTESSA,Desconocido,#297013,Inactiva
8523,,Villa María del Triunfo,Lima,Esfuerzos Unidos,ETEUSA,Desconocido,#276913,Activa
8524,,Pachacámac,Lima,Unidos Chama,,Desconocido,#FF0000,Activa
8525,,Villa María del Triunfo,Lima,Unidos de Pasajeros,ETUPSA,Desconocido,#ACCB56,Activa
8601,,Villa María del Triunfo,Miraflores,Especial Solidaridad,EMTESSA,Desconocido,#297013,Inactiva
8602,,Pachacámac,La Victoria,Red Lima Móvil,,Desconocido,#21CBD1,Activa
8603,,Pachacámac,La Victoria,Turismo Santa Rosa de Manchay,ETTSROMSA,Desconocido,#929C98,Inactiva
8604,,Villa María del Triunfo,Miraflores,Translima,,Desconocido,#009FE3,Activa
8605,,Villa El Salvador,San Isidro,Los Ángeles del Perú,ETRAPERSAC,Desconocido,#0008FF,Activa
8606,,Villa María del Triunfo,Lince,Unidos de Pasajeros,ETUPSA,Desconocido,#ACCB56,Inactiva
8607,,Villa María del Triunfo,Lince,El Paraíso,,Desconocido,#FFFAFA,Inactiva
8608,,Villa María del Triunfo,Lince,Especiales 10 de Enero,,Desconocido,#FFFCFC,Inactiva
8609,,Villa María del Triunfo,Lince,Especiales Carmelitas 2001,,Desconocido,#FFF700,Inactiva
8610,,Villa El Salvador,Miraflores,Múltiples Real de Villa,ETSEMURVSAC,Desconocido,#D6CF00,Inactiva
8611,,Lurín,Miraflores,Express Pachacámac,ETEPSA,Desconocido,#0006B8,Activa
8612,,Pachacámac,Miraflores,Edilberto Ramos,ETERSAC,Desconocido,#FFFF00,Activa
8613,,Punta Negra,Chorrillos,Turismo El Márquez,,Desconocido,#0014C7,Activa
8614,,Villa María del Triunfo,Miraflores,Tablada 2000,ETTADOSA,Desconocido,#FFCB3D,Activa
8615,,Pachacámac,La Victoria,Nuevo Perú,,Desconocido,#0D72B5,Activa
8616,,Villa María del Triunfo,Miraflores,Urano Tours,,Desconocido,#FF1414,Activa
8617,,Villa El Salvador,Miraflores,ATCRSA,ATCRSA,Desconocido,#E80202,Activa
8618,,Pachacámac,La Victoria,Real Star del Perú,,Desconocido,#D6B618,Inactiva
8619,,Villa El Salvador,La Victoria,Consorcio Línea 3,,Desconocido,#27C716,Activa
8620,,Villa María del Triunfo,Lince,Unidos Chama,,Desconocido,#FF0000,Inactiva
8621,,Villa El Salvador,La Victoria,Lapso,,Desconocido,#FFFF00,Activa
8622,,Villa El Salvador,La Victoria,Huáscar,,Desconocido,#D91212,Inactiva
8623,,Villa El Salvador,La Victoria,Arco Iris,ETSAISA,Desconocido,#B80000,Inactiva
8624,,Villa María del Triunfo,La Victoria,Luis Banchero Rossi,LUBARSA,Desconocido,#F4F78F,Inactiva
8625,,Villa María del Triunfo,Lince,Unidos de Pasajeros,ETUPSA,Desconocido,#ACCB56,Inactiva
8626,,Pachacámac,Miraflores,Unidos Chama,,Desconocido,#DF3322,Activa
8627,,Lurín,San Isidro,Urbano Línea 4,ETUL4SA,Desconocido,#E3B03F,Inactiva
8701,,Pachacámac,San Juan de Miraflores,Transporte e Inversiones Roshedi,,Desconocido,#281CD6,Activa
8702,,Punta Hermosa,San Juan de Miraflores,Virgencita de Pachacamac,VIPASA,Desconocido,#FFD324,Activa
8703,,Villa María del Triunfo,Surquillo,Expreso Tablada Y Asociados,,Desconocido,#FFB12B,Activa
8704,,Villa María del Triunfo,Surquillo,Purca Gabriel Cora Cora,,Desconocido,#0DE7FF,Activa
8705,,Villa El Salvador,San Juan de Miraflores,13 de Junio,,Desconocido,#FFF700,Inactiva
8706,,Villa María del Triunfo,Chorrillos,Turismo San Juanito,,Desconocido,#FF0000,Activa
8707,,Villa María del Triunfo,Chorrillos,Preferencial San Juanito,,Desconocido,#FF4912,Activa
8708,,Villa María del Triunfo,Chorrillos,Unión San Juanito,,Desconocido,#FF1919,Activa
8709,,Villa María del Triunfo,San Juan de Miraflores,Esfuerzos Unidos,ETEUSA,Desconocido,#21AD06,Activa
8710,,Villa María del Triunfo,Surquillo,Urbano Limatambo,ETULSAC,Desconocido,#19821C,Inactiva
8711,,Lurín,Surquillo,Villa Alejandro,,Desconocido,#398F00,Activa
8712,,Villa María del Triunfo,Chorrillos,La Unidad de Villa,,Desconocido,#00DE34,Activa
8713,,Villa El Salvador,Santiago de Surco,Veintiséis de Marzo,,Desconocido,#0D00C2,Inactiva
8714,,Lurín,Surquillo,Esmirla Zevallos,,Desconocido,#FF0505,Activa
8715,,Lurín,Surquillo,Milagrosa Virgen del Carmen de Lurín,,Desconocido,#FFD89E,Activa
8716,,Villa María del Triunfo,Chorrillos,José Gálvez,ETJGSA,Desconocido,#FFFF12,Activa
8717,,Pachacámac,Chorrillos,Kid Galahad,,Desconocido,#215741,Activa
8718,,Pachacámac,San Juan de Miraflores,Novoa,,Desconocido,#F700FF,Activa
8719,,Villa El Salvador,San Juan de Miraflores,Múltiples Real de Villa,ETSEMURVSAC,Desconocido,#D6CF00,Inactiva
8720,,Lurín,San Juan de Miraflores,Talia,EMTRATASAC,Desconocido,#FF8CF7,Activa
8721,,Pachacámac,Chorrillos,La Unidad de Villa,,Desconocido,#FFF700,Inactiva
8722,,Villa María del Triunfo,Chorrillos,José Gálvez,ETJGSA,Desconocido,#FFFF12,Activa
8723,,Villa El Salvador,San Juan de Miraflores,Trabajadores Coraje,,Desconocido,#FF5500,Activa
8724,,Villa María del Triunfo,Chorrillos,La Unidad de Villa,,Desconocido,#00DE34,Activa
8725,,Villa El Salvador,San Juan de Miraflores,Múltiples Real de Villa,ETSEMURVSAC,Desconocido,#D6CF00,Inactiva
8726,,Villa María del Triunfo,Chorrillos,Urbano Mariátegui,ETUMSA,Desconocido,#0007D1,Activa
8727,,Villa María del Triunfo,Chorrillos,Corazón Valiente,ETRACOVASA,Desconocido,#BED223,Activa
8728,,Villa María del Triunfo,Chorrillos,Generales Peruanos,TRAGEPSA,Desconocido,#E81A1A,Activa
8729,,Pachacámac,Santiago de Surco,Carrocerías Rivera,,Desconocido,#68BCEB,Activa
8801,,San Bartolo,Lurín,San Pedro de Lurín,EMTRANSAPEL,Desconocido,#001CCF,Activa
8802,,San Bartolo,Villa El Salvador,Santa Cruz de Punta Hermosa,ETRANSERVI,Desconocido,#7A523D,Activa
8803,,Pachacámac,Pachacámac,San Juan de Dios,ETSAJUDSA,Desconocido,#05096E,Activa
8804,,Villa María del Triunfo,Pachacámac,Inversiones Multiplicando Esperanzas,TRANSPIMESAC,Desconocido,#BDBD92,Activa
8890,,Villa María del Triunfo,Pachacámac,Las Nuevas Esperanzas,TINESA,Desconocido,#C98B44,Activa
8891,,Pachacámac,Lurín,Consorcio Villa Express,,Desconocido,#2A7035,Inactiva
8892,,Villa María del Triunfo,Villa El Salvador,Tablada,EMTRATASA,Desconocido,#FF00B3,Activa
8893,,Villa María del Triunfo,Villa María del Triunfo,Rutas En Zonas No Atendidas,REZNA,Desconocido,#FFFFF1,Inactiva
8894,,Villa El Salvador,Villa El Salvador,Rutas En Zonas No Atendidas,REZNA,Desconocido,#FFF1FF,Inactiva
8901,,Pachacámac,Callao,Nuevo Perú,,Desconocido,#FF0505,Inactiva
8902,,Pachacámac,La Punta,Los Laureles de Manchay,,Desconocido,#05C5FF,Inactiva
8903,,Pachacámac,La Punta,Castro Fuentes,KEJVIDSA,Desconocido,#060B85,Inactiva
9301,,Callao,San Juan de Lurigancho,Progreso,ETPSA,Desconocido,#570B0B,Inactiva
9302,,Callao,San Juan de Lurigancho,Nuevo San Juan,,Desconocido,#FF1303,Inactiva
9303,,Callao,San Juan de Lurigancho,Milenium,,Desconocido,#610000,Activa
9304,,Callao,San Juan de Lurigancho,Huáscar 87,,Desconocido,#E60026,Inactiva
9305,,Ventanilla,El Agustino,Servicio Urbano 26 de Mayo,,Desconocido,#FFFEED,Activa
9306/TVE26,,Callao,San Juan de Lurigancho,Las Flores,,Desconocido,#FF6F00,Activa
9307,,Ventanilla,San Juan de Lurigancho,La Nueva Estrella,,Desconocido,#0600C9,Activa
9401,,Ventanilla,Huaycán,Inversiones y Representaciones Polo,IRPSAC,Desconocido,#4FA500,Activa
9402,,Mi Perú,Lurigancho/Chosica,Sol y Mar,,Desconocido,#059400,Inactiva
9403,,Callao,Lurigancho/Chosica,102,,Desconocido,#D3FF21,Inactiva
9404,,Mi Perú,Lurigancho/Chosica,Sol y Mar,,Desconocido,#059600,Inactiva
9405,,Callao,Ate,Federico Villareal,ETFVSA,Desconocido,#FF540A,Activa
9501,,Callao,Lima,Once de Noviembre,EMPTONSA,Desconocido,#20BA2F,Inactiva
9502,,Bellavista,Lima,Pacific International,ETRASERPISA,Desconocido,#F20C0C,Inactiva
9503,,Carmen de la Legua,Lima,Once de Noviembre,EMPTONSA,Desconocido,#20BA2F,Activa
9504,,Callao,Lima,San Miguel N°2,,Desconocido,#0022FF,Inactiva
9505,,Mi Perú,San Miguel,Sol y Mar,,Desconocido,#059400,Inactiva
9601,,Ventanilla,La Victoria,Virgen de La Puerta,VIPUSA,Desconocido,#0ABF16,Activa
9602,,Ventanilla,Lince,Virgen de La Puerta,VIPUSA,Desconocido,#0CA106,Activa
9604,,Callao,La Victoria,Huáscar 87,,Desconocido,#E60026,Inactiva
9605,,Callao,La Victoria,Múltiples Satélite,ETRASEMUSSA,Desconocido,#004F08,Activa
9801,,Ventanilla,Villa El Salvador,41,,Desconocido,#F5A200,Activa
9802,,Callao,Villa María del Triunfo,Los Milagros del Señor de Pachacamilla,ETMISPSA,Desconocido,#841FD1,Activa
9803,,Callao,Villa María del Triunfo,Unidos Chama,,Desconocido,#FF0000,Inactiva
9901,,Callao,Callao,Sociedad de Transportistas Independientes,SOTISA,Desconocido,#FF38FF,Inactiva
