codigo_antiguo,codigo_nuevo,distrito_origen,distrito_destino,empresa_operadora,empresa_abrev,alias,color_hex,fuente
CR14,1265,Callao,Santiago de Surco,Hogar Tours,,La S,#D43434,wikipedia
CR19,1266,Ventanilla,Santiago de Surco,Lima Express,,La JV,#00FF99,wikipedia
CR24,1267,Ventanilla,Ate,Servicio y Comercialización Expreso Santa Anita,,La V,#000E8C,wikipedia
CR25,1268,Callao,Ate,El Álamo de Santa Rosa,,Ninguno,#39601B,wikipedia
CR37,1269,San Martin de Porres,Ate,Los Excelentes Unidos,ETSMEUSA,La X37,#FF0000,wikipedia
CR39,1270,Callao,Santiago De Surco,ANGAMOS,,Desconocido,#FFFFFF,atu_pdf
CR44,1271,Callao,Ate,CALIFORNIA 2000,,Desconocido,#FFFFFF,atu_pdf
CR54,1272,Callao,Santa Anita,VEINTIDOS,,Desconocido,#FFFFFF,atu_pdf
CR57,1273,Ventanilla,El Agustino,IJECORPJYL,,Desconocido,#FFFFFF,atu_pdf
CR58,1274,Ventanilla,Ate,TORO,,Desconocido,#FFFFFF,atu_pdf
CR71,1275,San Martin De Porres,Santiago De Surco,SERV. MULT. GRUPO DIEZ,,Desconocido,#FFFFFF,atu_pdf
CR75,1276,Callao,Santiago De Surco,TURISMO STAR TOURS,,Desconocido,#FFFFFF,atu_pdf
ICR10,1277,Ate,San Martin De Porres,CALIFORNIA,,Desconocido,#FFFFFF,atu_pdf
ICR14,1278,Callao,Santa Anita,REY 505,,Desconocido,#FFFFFF,atu_pdf
IM04,1279,Ate,Callao,SERVICE CANADA,,Desconocido,#FFFFFF,atu_pdf
IM06,1280,Santa Rosa,Villa Maria Del Triunfo,INVERSIONES GENESIS,,Desconocido,#FFFFFF,atu_pdf
IM11,1281,Ate,Callao,SERVICE CANADA,,Desconocido,#FFFFFF,atu_pdf
