ref_raw,route_code,old_code,match_source,match_method,alias,origen,destino,empresa,color,id,title,ref,name,route_code_base,family_ok
,,,,,,,,,#555555,4782800,,,,,True
X-SCR09-I,1135,CR09,rutas.csv,old_code,,Callao,Lima,,#555555,4782801,1135,1135,X-SCR09-I,CR09,True
X-SCR05B-I,,,,,,,,,#555555,4782884,CR05B,CR05B,X-SCR05B-I,CR05B,True
X-SCR04-I,1133,CR04,rutas.csv,old_code,,La Punta,Lima,,#555555,4783001,1133,1133,X-SCR04-I,CR04,True
X-SCR31-I,1141,CR31,rutas.csv,old_code,,Callao,Santiago de Surco,,#555555,4783074,1141,1141,X-SCR31-I,CR31,True
X-SCR04A-I,,,,,,,,,#555555,4783120,CR04A,CR04A,X-SCR04A-I,CR04A,True
X-SO55C-I,,,,,,,,,#555555,4783207,SO55C,SO55C,X-SO55C-I,SO55C,False
X-SCR33-I,,,,,,,,,#555555,4783229,CR33,CR33,X-SCR33-I,CR33,True
X-SO10-I,,,,,,,,,#555555,4783262,SO10,SO10,X-SO10-I,SO10,False
X-SCR01A-I,,,,,,,,,#555555,4783278,CR01A,CR01A,X-SCR01A-I,CR01A,True
X-SO67A-I,,,,,,,,,#555555,4783284,SO67A,SO67A,X-SO67A-I,SO67A,False
X-OO08-I,,,,,,,,,#555555,4783285,OO08,OO08,X-OO08-I,OO08,False
X-SCR30-I,1140,CR30,rutas.csv,old_code,,Callao,Lima,,#555555,4783555,1140,1140,X-SCR30-I,CR30,True
X-SCR21-I,,CR21,rutas_anteriores.csv,old_only,,Callao,Lima,Empresa de Transportes Ijecorpjyl S.A.,#DFFF12,4784109,CR21,CR21,X-SCR21-I,CR21,True
X-SO67B-I,,,,,,,,,#555555,4784177,SO67B,SO67B,X-SO67B-I,SO67B,False
X-SO51A-I,,,,,,,,,#555555,4784229,SO51A,SO51A,X-SO51A-I,SO51A,False
X-SO50-I,,,,,,,,,#555555,4784272,SO50,SO50,X-SO50-I,SO50,False
X-SCR22-I,,CR22,rutas_anteriores.csv,old_only,,Callao,Lima,Empresa de Transportes Toro S.R.L.,#E81C1C,4784553,CR22,CR22,X-SCR22-I,CR22,True
X-SCR35-I,,CR35,rutas_anteriores.csv,old_only,,Ventanilla,Ventanilla,Empresa de Servicio de Transporte Lima Ventanilla Turismo S.A.C. (LIVENTUR),#136919,4784970,CR35,CR35,X-SCR35-I,CR35,True
X-SRC36-I,,,,,,,,,#555555,4785137,SRC36,SRC36,X-SCR36-I,SRC36,False
X-SCR38-I,1143,CR38,rutas.csv,old_code,,Callao,Santiago de Surco,,#555555,4785175,1143,1143,X-SCR38-I,CR38,True
X-SO71-I,,,,,,,,,#555555,4785186,SO71,SO71,X-SO71-I,SO71,False
X-SM19E-I,,,,,,,,,#555555,4785209,SM19,SM19,X-SM19E-I,SM19,False
,,,,,,,,,#555555,4787549,,,,,True
,,,,,,,,,#555555,4789418,,,,,True
X-SO39-I,,,,,,,,,#555555,4789971,SO39,SO39,X-SO39-I,SO39,False
X-SO94-I,,,,,,,,,#555555,4790541,SO94,SO94,X-SO94-I,SO94,False
X-SCR38A-X,,,,,,,,,#555555,4793441,CR38A,CR38A,X-SCR38A-I,CR38A,True
X-SM14-I,,,,,,,,,#555555,4794979,SM14,SM14,X-SM14-I,SM14,False
X-SO44-I,,,,,,,,,#555555,4795224,SO44,SO44,X-SO44-I,SO44,False
X-SO41-I,,,,,,,,,#555555,4795253,SO41,SO41,X-SO41-I,SO41,False
X-SM35A-I,,,,,,,,,#555555,4795397,SM35A,SM35A,X-SM35A-I,SM35A,False
X-SM35-I,,,,,,,,,#555555,4795439,SM35,SM35,X-SM35-I,SM35,False
X-SM41-I,,,,,,,,,#555555,4795468,SM41,SM41,X-SM41-I,SM41,False
X-SM28-I,,,,,,,,,#555555,4795501,SM28,SM28,X-SM28-I,SM28,False
X-SM27-I,,,,,,,,,#555555,4795550,SM27,SM27,X-SM27-I,SM27,False
X-SCR38B-I,,,,,,,,,#555555,4796307,CR38B,CR38B,X-SCR38B-I,CR38B,True
X-SM20B-I,,,,,,,,,#555555,4800366,SM20B,SM20B,X-SM20B-I,SM20B,False
X-SM20-I,,,,,,,,,#555555,4800382,SM20,SM20,X-SM20-I,SM20,False
X-SM20A-I,,,,,,,,,#555555,4800414,SM20A,SM20A,X-SM20A-I,SM20A,False
X-SO03-I,,,,,,,,,#555555,4800457,SO03,SO03,X-SO03-I,SO03,False
X-SO21-I,,,,,,,,,#555555,4807563,SO21,SO21,X-SO21-I,SO21,False
X-SO93-I,,,,,,,,,#555555,4812658,SO93,SO93,X-SO93-I,SO93,False
X-SM38-I,,,,,,,,,#555555,4813636,SM38,SM38,X-SM38-I,SM38,False
X-SO74-I,,,,,,,,,#555555,4813853,SO74,SO74,X-SO74-I,SO74,False
X-SM49-I,,,,,,,,,#555555,4815311,SM49,SM49,X-SM49-I,SM49,False
Carro rojo,,,,,,,,,#555555,4815747,CARROROJO,CARROROJO,C,CARROROJO,False
X-SO12A-I,,,,,,,,,#555555,4815988,SO12A,SO12A,X-SO12A-I,SO12A,False
X-SM19-I,,,,,,,,,#555555,4816015,SM19,SM19,X-SM19-I,SM19,False
X-SM19C-I,,,,,,,,,#555555,4819917,SM19C,SM19C,X-SM19C-I,SM19C,False
,,,,,,,,,#555555,4820596,,,,,True
X-SM36-I,,,,,,,,,#555555,4821525,SM36,SM36,X-SM36-I,SM36,False
X-SO28-I,,,,,,,,,#555555,4822236,SO28,SO28,X-SO28-I,SO28,False
X-SO11-I,,,,,,,,,#555555,4829251,SO11,SO11,X-SO11-I,SO11,False
X-SO13-I,,,,,,,,,#555555,4829280,SO13,SO13,X-SO13-I,SO13,False
X-SO17-I,,,,,,,,,#555555,4829413,SO17,SO17,X-SO17-I,SO17,False
X-SO08-I,,,,,,,,,#555555,4833460,SO08,SO08,X-SO08-I,SO08,False
X-SM36A-I,,,,,,,,,#555555,4833485,SM36A,SM36A,X-SM36A-I,SM36A,False
X-SO26-I,,,,,,,,,#555555,4854044,SO26,SO26,X-SO26-I,SO26,False
X-SO16-I,,,,,,,,,#555555,4854419,SO16,SO16,X-SO16-I,SO16,False
X-SO33-I,,,,,,,,,#555555,4854478,SO33,SO33,X-SO33-I,SO33,False
X-SO18-I,,,,,,,,,#555555,4854573,SO18,SO18,X-SO18-I,SO18,False
X-SM33-I,,,,,,,,,#555555,4855223,SM33,SM33,X-SM33-I,SM33,False
X-SM05-I,,,,,,,,,#555555,4855264,SM05,SM05,X-SM05-I,SM05,False
X-SM30-I,,,,,,,,,#555555,4855687,SM30,SM30,X-SM30-I,SM30,False
X-SO37-I,,,,,,,,,#555555,4855692,SO37,SO37,X-SO37-I,SO37,False
X-SO14-I,,,,,,,,,#555555,4860869,SO14,SO14,X-SO14-I,SO14,False
X-SO92-I,,,,,,,,,#555555,4860928,SO92,SO92,X-SO92-I,SO92,False
X-SM26-I,,,,,,,,,#555555,4860978,SM26,SM26,X-SM26-I,SM26,False
X-SO55D-I,,,,,,,,,#555555,4861887,SO55D,SO55D,X-SO55D-I,SO55D,False
X-SO55-I,,,,,,,,,#555555,4861896,SO55,SO55,X-SO55-I,SO55,False
X-SM42A-I,,,,,,,,,#555555,4861898,SM42A,SM42A,X-SM42A-I,SM42A,False
X-SM42A-I,,,,,,,,,#555555,4861899,SM42A,SM42A,X-SM42A-I,SM42A,False
X-SM42-I,,,,,,,,,#555555,4861900,SM42,SM42,X-SM42-I,SM42,False
X-SM42B-I,,,,,,,,,#555555,4861905,SM42B,SM42B,X-SM42B-I,SM42B,False
X-SM09-I,,,,,,,,,#555555,4868516,SM09,SM09,X-SM09-I,SM09,False
X-SO05-I,,,,,,,,,#555555,4868530,SO05,SO05,X-SO05-I,SO05,False
X-SO35-I,,,,,,,,,#555555,4872103,SO35,SO35,X-SO35-I,SO35,False
X-SM40-I,,,,,,,,,#555555,4872150,SM40,SM40,X-SM40-I,SM40,False
X-SO04-I,,,,,,,,,#555555,5120775,SO04,SO04,X-SO04-I,SO04,False
X-SO07-I,,,,,,,,,#555555,5120936,SO07,SO07,X-SO07-I,SO07,False
X-SO31-I,,,,,,,,,#555555,5121851,SO31,SO31,X-SO31-I,SO31,False
X-SO20-I,,,,,,,,,#555555,5122273,SO20,SO20,X-SO20-I,SO20,False
X-SO30-I,,,,,,,,,#555555,5122349,SO30,SO30,X-SO30-I,SO30,False
X-SO12B-I,,,,,,,,,#555555,5122424,SO12B,SO12B,X-SO12B-I,SO12B,False
X-SO49A-I,,,,,,,,,#555555,5122516,SO49A,SO49A,X-SO49A-I,SO49A,False
X-SM24-I,,,,,,,,,#555555,5122602,SM24,SM24,X-SM24-I,SM24,False
X-SO15-I,,,,,,,,,#555555,5122704,SO15,SO15,X-SO15-I,SO15,False
X-SM19F-I,,,,,,,,,#555555,5122748,SM19F,SM19F,X-SM19F-I,SM19F,False
X-SO24-I,,,,,,,,,#555555,5122764,SO24,SO24,X-SO24-I,SO24,False
X-SO42-I,,,,,,,,,#555555,5123174,SO42,SO42,X-SO42-I,SO42,False
X-SM19G-I,,,,,,,,,#555555,5123429,SM19G,SM19G,X-SM19G-I,SM19G,False
X-ECR20-I,,CR20,rutas_anteriores.csv,old_only,,Callao,Villa María del Triunfo,Grupo Salamanca Express S.A.C.,#2E00F5,5141457,CR20,CR20,X-ECR20-I,CR20,True
RutaTuristica1,,,,,,,,,#555555,5582236,RUTATURISTICA1,RUTATURISTICA1,RutaTuristica1,RUTATURISTICA1,False
Mala - Bujama,,,,,,,,,#555555,6875057,MALA-BUJAMA,MALA-BUJAMA,,MALA-BUJAMA,False
Airport Express Lima,,,,,,,,,#555555,16812606,AIRPORTEXPRESSLIMA,AIRPORTEXPRESSLIMA,Airport Express Lima,AIRPORTEXPRESSLIMA,False
1007,1007,1502,rutas.csv,new_code,,Puente Piedra,Lima,,#555555,19413426,1007,1007,Ruta 1007,1007,True
1008,1008,1503,rutas.csv,new_code,,Carabayllo,Magdalena del Mar,,#555555,19572753,1008,1008,Ruta 1008,1008,True
1019,1019,1611,rutas.csv,new_code,,Puente Piedra,Magdalena del Mar,,#555555,19575841,1019,1019,Ruta 1019,1019,True
1021,1021,1615,rutas.csv,new_code,,Carabayllo,Lince,,#555555,19597970,1021,1021,Ruta 1021,1021,True
1023,1023,1618,rutas.csv,new_code,,Carabayllo,Lince,,#555555,19615026,1023,1023,Ruta 1023,1023,True
1037,1037,2611,rutas.csv,new_code,,San Martín de Porres,La Victoria,,#555555,19655217,1037,1037,Ruta 1037,1037,True
