relation_id,route_key,ref,name,color,n_segments
4775558,X-SM37-I,X-SM37-I,X-SM37-I,#66c2a5,93
4775629,X-SO25-I,X-SO25-I,X-SO25-I,#9c755f,108
4775660,X-SCR42-I,X-SCR42-I,X-SCR42-I,#4e79a7,59
4775684,X-SO64C-I,X-SO64C-I,X-SO64C-I,#6a3d9a,101
4775697,X-SO64B-I,X-SO64B-I,X-SO64B-I,#cab2d6,84
4775722,X-SM46B-I,X-SM46B-I,X-SM46B-I,#ffab91,78
4775756,X-SM46-I,X-SM46-I,X-SM46-I,#b3b3b3,78
4779932,X-SCR26-I,X-SCR26-I,X-SCR26-I,#ffab91,169
4782800,4782800,,,#e15759,1
4782801,X-SCR09-I,X-SCR09-I,X-SCR09-I,#fdbf6f,47
4782884,X-SCR05B-I,X-SCR05B-I,X-SCR05B-I,#b2df8a,61
4783001,X-SCR04-I,X-SCR04-I,X-SCR04-I,#ccebc5,103
4783074,X-SCR31-I,X-SCR31-I,X-SCR31-I,#c5e1a5,60
