seccion,grupo,ruta,ruta_color,codigo_anterior,codigo_anterior_color,alias,origen,destino,empresa,abreviacion
actual,Rutas 1000,1074,#1E2C82,4610,#1E2C82,La B - La 112,Ate,San Isidro,Empresa de Transportes Miraflores Monterrico S.A. (ETMIMSA),ETMIMSA
actual,Rutas 1000,1075,#00008A,4611,#00008A,La 51,Lurigancho/Chosica,La Victoria,Empresa de Transportes y Servicios San Juan Bautista S.A. (ETSSJBSA),ETSSJBSA
actual,Rutas 1000,1076,#00990A,4612,#00990A,,Huaycán,La Victoria,Empresa de Transportes y Servicios Múltiples Comercialización 14 de Mayo S.A.C.,
actual,Rutas 1000,1077,#006B0B,4613,#006B0B,,Huaycán,La Victoria,Transportes y Servicios Múltiples Perla de Los Andes S.A.C. (TRASMPERSAC),TRASMPERSAC
actual,Rutas 1000,1078,#75574D,4614,#75574D,La 63,Ate,La Victoria,Empresa de Transportes y Servicios Sesentitrés S.A.,
actual,Rutas 1000,1079,#0013BA,4618,#0013BA,,Ate,La Victoria,Empresa de Transportes Unidos San Martín de Porres S.A. (ETUSMPSA),ETUSMPSA
actual,Rutas 1000,1080,#1BBFA4,4619,#1BBFA4,La HCT - El Huaycanero,Huaycán,La Victoria,Empresa de Transporte y Turismo Huaycán S.A. (ETRANTURHSA),ETRANTURHSA
actual,Rutas 1000,1081,#D61406,4620,#D61406,,Huaycán,La Victoria,Empresa de Transportes Urbano Huaycán S.A.,
actual,Rutas 1000,1082,#FFEF08,4622,#FFEF08,,Ate,Miraflores,Empresa de Transporte Angamos S.A.,
actual,Rutas 1000,1083,#FFA229,4623,#FFA229,,Huaycán,La Victoria,Transportes e Inversiones Sin Fronteras S.A.C.,
actual,Rutas 1000,1084,#070A66,4703,#070A66,La 91,Ate,Chorrillos,Empresa de Transportes Consorcio Santo Cristo S.A.,
actual,Rutas 1000,1085,#25A605,5401,#25A605,El Chosicano,Lima,Santa Eulalia,Empresa de Transportes y Servicios Turismo Carretera Central S.A.C. (EMTRACACE),EMTRACACE
actual,Rutas 1000,1086,#B8B097,6901,#B8B097,,San Borja,Callao,Empresa de Transportes Magdalena-San Miguel S.A. (ETRAMSMSA),ETRAMSMSA
actual,Rutas 1000,1087,#90333B,7501,#90333B,La 52T,Chorrillos,Jesús María,Empresa de Transportes Unidos S.A. (ETUSA),ETUSA
actual,Rutas 1000,1088,#7CFF0A,7505,#7CFF0A,,Chorrillos,Lima,Servicios Generales y Transportes Renacimiento S.A. (SGTRENSA),SGTRENSA
actual,Rutas 1000,1089,#E80202,7601,#E80202,La 24,San Juan de Miraflores,Lince,Agrupación de Transportistas en Camionetas S.A. (ATCRSA),ATCRSA
actual,Rutas 1000,1090,#E00202,7606,#E00202,La C,Chorrillos,San Isidro,Empresa de Transportes Unidos Chama S.A.,
actual,Rutas 1000,1091,#1465A3,7607,#1465A3,La 160,San Juan de Miraflores,La Victoria,Empresa de Transportes y Servicios Múltiples 160 S.A.C.,
actual,Rutas 1000,1092,#C4100A,7610,#C4100A,Ninguna,Chorrillos,La Victoria,Empresa de Transportes y Servicios Múltiples San Genaro S.A. (ETSEMUSAGESA),ETSEMUSAGESA
actual,Rutas 1000,1093,#0F0F0F,7612,#0F0F0F,La I,San Juan de Miraflores,San Isidro,Empresa de Transportes y Servicios Múltiples Sur Primero de Junio S.A.C. (ETPRIJUSAC),ETPRIJUSAC
actual,Rutas 1000,1094,#0016A3,7613,#0016A3,La C,San Juan de Miraflores,Miraflores,Empresa de Transportes Unidos Doce de Noviembre S.A. (ETUSA),ETUSA
actual,Rutas 1000,1095,#0DBD7C,7614,#0DBD7C,La 57,Chorrillos,Miraflores,Empresa de Transporte Servicios Turismo e Inversiones Norteamérica S.A.C.,
actual,Rutas 1000,1096,#FFFF1C,8302/CH24,#FFFF1C,La B - La Banchero,Villa El Salvador,San Juan de Lurigancho,Empresa de Transportes Luis Banchero Rossi S.A. (LUBARSA),LUBARSA
actual,Rutas 1000,1097,#7C47A1,8306,#7C47A1,La 10E,Villa El Salvador,San Juan de Lurigancho,Empresa de Transportes Santo Cristo de Pachacamilla S.A. (ETRASCPSA),ETRASCPSA
actual,Rutas 1000,1098,#E3B03F,8308,#E3B03F,La 08 - La L,Lurín,San Juan de Lurigancho,Empresa de Transporte Urbano Línea 4 S.A. (ETUL4SA),ETUL4SA
actual,Rutas 1000,1099,#F4F78F,8403,#F4F78F,La 9 - La Banchero,Villa María del Triunfo,Jesús Maria,Empresa de Transportes Luis Banchero Rossi S.A. (LUBARSA),LUBARSA
actual,Rutas 1100,1100,#E3B03F,8404,#E3B03F,La P,Villa María del Triunfo,Huaycán,Empresa de Transporte Urbano Línea 4 S.A. (ETUL4SA),ETUL4SA
actual,Rutas 1100,1107,#59D3FF,8513,#59D3FF,La C,Villa El Salvador,Lima,Empresa de Transportes Montenegro S.A.C. (ETMOSAC),ETMOSAC
actual,Rutas 1100,1108,#0C5700,8520,#0C5700,La 23A,Villa el Salvador,Lima,Empresa de Servicios de Transporte Santa Catalina S.A. (ESTSACASA),ESTSACASA
actual,Rutas 1100,1109,#276913,8523,#276913,La 25,Villa María del Triunfo,Miraflores,Empresa de Transportes Esfuerzos Unidos S.A. (ETEUSA),ETEUSA
actual,Rutas 1100,1110,#FF0000,8524,#FF0000,La G,Pachacámac,Lima,Empresa de Transportes Unidos Chama S.A.,
actual,Rutas 1100,1111,#ACCB56,8525,#ACCB56,La 73A,Villa María del Triunfo,Lima,Empresa de Transportes Unidos de Pasajeros S.A. (ETUPSA),ETUPSA
actual,Rutas 1100,1112,#21CBD1,8602,#21CBD1,,Pachacámac,La Victoria,Red Lima Móvil S.A.,
actual,Rutas 1100,1113,#009FE3,8604,#009FE3,,Villa María del Triunfo,Miraflores,Translima S.A.,
actual,Rutas 1100,1114,#0008FF,8605,#0008FF,La D2,Villa El Salvador,San Isidro,Empresa de Transportes y Servicios Los Ángeles del Perú S.A.C. (ETRAPERSAC),ETRAPERSAC
actual,Rutas 1100,1115,#0006B8,8611,#0006B8,La A,Lurín,Miraflores,Empresa de Transportes Express Pachacámac S.A. (ETEPSA),ETEPSA
actual,Rutas 1100,1116,#FFFF00,8612,#FFFF00,La A,Pachacámac,Miraflores,Empresa de Transportes Edilberto Ramos S.A.C. (ETERSAC),ETERSAC
actual,Rutas 1100,1117,#FFCB3D,8614,#FFCB3D,Ninguna,Villa María del Triunfo,Miraflores,Empresa de Transportes Tablada 2000 S.A. (ETTADOSA),ETTADOSA
actual,Rutas 1100,1118,#FF1414,8616,#FF1414,La U,Villa María del Triunfo,Miraflores,Comunicación Integral Turismo e Inversiones Urano Tours S.A.,
actual,Rutas 1100,1119,#E80202,8617,#E80202,La D,Villa El Salvador,Miraflores,Agrupación de Transportistas en Camionetas S.A. (ATCRSA),ATCRSA
actual,Rutas 1100,1120,#D6B618,8618,#D6B618,La 190,Pachacámac,La Victoria,Real Star del Perú S.A.C.,
actual,Rutas 1100,1121,#27C716,8619,#27C716,La A,Villa El Salvador,La Victoria,Consorcio Línea 3 S.A.C.,
actual,Rutas 1100,1122,#FFFF00,8621,#FFFF00,La 6,Villa El Salvador,La Victoria,Lapso S.A.,
actual,Rutas 1100,1123,#DF3322,8626,#DF3322,La A,Pachacámac,Miraflores,Empresa de Transportes Unidos Chama S.A.,
actual,Rutas 1100,1124,#FFB12B,8703,#FFB12B,,Villa María del Triunfo,Surquillo,Empresa de Transportes Expreso Tablada Y Asociados S.A.C.,
actual,Rutas 1100,1125,#0DE7FF,8704,#0DE7FF,,Villa María del Triunfo,Surquillo,Empresa de Transportes Purca Gabriel Cora Cora S.A.,
actual,Rutas 1100,1126,#398F00,8711,#398F00,,Lurín,Surquillo,Villa Alejandro S.A.,
actual,Rutas 1100,1127,#FF0505,8714,#FF0505,,Lurín,Surquillo,Empresa de Transportes y Servicios Múltiples Esmirla Zevallos S.A.,
actual,Rutas 1100,1128,#68BCEB,8729,#68BCEB,La G - La 65,Pachacámac,Santiago de Surco,Carrocerías Rivera S.A.C.,
actual,Rutas 1100,1129,#05096E,8803,#05096E,La A - La B,Pachacámac,Pachacámac,Empresa de Transportes y Servicios San Juan de Dios S.A. (ETSAJUDSA),ETSAJUDSA
actual,Rutas 1100,1130,#20BA2F,9503,#20BA2F,,Carmen de la Legua,Lima,Empresa de Transportes Once de Noviembre S.A. (EMPTONSA),EMPTONSA
actual,Rutas 1100,1131,#0ABF16,9601,#0ABF16,La D,Ventanilla,La Victoria,Empresa de Transportes y Servicios Virgen de La Puerta S.A. (VIPUSA),VIPUSA
actual,Rutas 1100,1132,#004F08,9605,#004F08,El Urbanito,Callao,La Victoria,Empresa de Transporte y Servicios Múltiples Satélite S.A. (ETRASEMUSSA),ETRASEMUSSA
actual,Rutas 1100,1133,#8D17E8,CR04,#8D17E8,,La Punta,Lima,Empresa de Transportes Señor del Mar S.A. (ETSMARSA),ETSMARSA
actual,Rutas 1100,1134,#3189CC,CR07,#3189CC,La A,Callao,La Perla,Empresa de Transportes y Servicios La Estrella S.A.C. (ETSESAC),ETSESAC
actual,Rutas 1100,1135,#BDBDBD,CR09,#BDBDBD,La 105,Callao,Lima,Empresa de Transportes Mariscal Ramón Castilla S.A.,
