seccion,grupo,ruta,ruta_color,alias,origen,destino,empresa,estado_de_la_ruta
anterior,Rutas 2300,2303,#FFA305,Ninguno,San Martín de Porres,San Juan de Lurigancho,Empresa de Transportes Señor Nazareno S.A.,Activa
anterior,Rutas 2300,2304,#0044FF,La SC - La San Ignacio,Rímac,San Juan de Lurigancho,Empresa de Transportes San Ignacio S.A. (ETSISA),Inactiva
anterior,Rutas 2300,2305,#A5C5EB,La A,San Martín de Porres,San Juan de Lurigancho,Empresa Virgen de Fátima S.A. (EVIFASA),Activa
anterior,Rutas 2400,2401,#EB1212,Ninguno,Rímac,Ate,Comunicación Integral Turismo e Inversiones Urano Tours S.A.,Inactiva
anterior,Rutas 2400,2402,#0006BD,La 22 - La Banchero,Rímac,Ate,Empresa de Transportes Luis Banchero Rossi S.A. (LUBARSA),Inactiva
anterior,Rutas 2400,2403 ​,#FF0800,La 44B,San Martín de Porres,Ate,Empresa de Transportes Diecisiete de Junio S.A. (ETRADIJUSA),Inactiva
anterior,Rutas 2400,2404,#239911,La 35B,San Martín de Porres,La Molina,Empresa de Transportes y Servicios El Inti S.A. (ETINSA),Activa
anterior,Rutas 2400,2405,#0839FF,Ninguno,San Martín de Porres,Santa Anita,Empresa de Servicios y Transportes Inversiones El Rápido S.A. (ESTIRSA),Inactiva
anterior,Rutas 2400,2406,#085E02,La 35A,San Martín de Porres,Ate,Empresa de Transportes y Servicios Múltiples Los Excelentes Unidos S.A.,Activa
anterior,Rutas 2400,2407,#FFEE00,Ninguno,Independencia,Ate,Empresa de Transportes y Servicios El Sol de Santa Clara S.A. (ETISSA),Activa
anterior,Rutas 2400,2408,#A31E0F,La 148,Independencia,Ate,Empresa de Transportes Virgen de la Concepción S.A. (ETVIRCOSA),Activa
anterior,Rutas 2400,2409,#A5C5EB,La B,San Martín de Porres,Ate,Empresa Virgen de Fátima S.A. (EVIFASA),Activa
anterior,Rutas 2400,2410,#FF540A,La A - La Covida,San Martín de Porres,Ate,Empresa de Transportes Federico Villareal S.A. (ETFVSA),Inactiva
anterior,Rutas 2400,2411,#D90000,La 42 - El Rápido,San Martín de Porres,Lurigancho/Chosica,Empresa de Transportes y Servicios El Rápido S.A. / Grupo Empresarial El Rápido S.A.,Activa
anterior,Rutas 2400,2412,#0C0E52,La 100,Rímac,Ate,Cooperativa de Transporte Comité Cien Ltda.,Activa
anterior,Rutas 2400,2413,#783737,Ninguno,San Martín de Porres,Ate,Empresa de Transportes Roluesa S.A.C.,Inactiva
anterior,Rutas 2400,2414,#0006CC,La A,Los Olivos,Santa Anita,Transportes Cruz del Centro S.A.,Inactiva
anterior,Rutas 2500,2501,#FF4108,Ninguno,San Martín de Porres,Lima,Comunicación Integral Turismo e Inversiones Urano Tours S.A.,Inactiva
anterior,Rutas 2500,2502,#FFAA00,La B,San Martín de Porres,Lima,Empresa de Transportes y Servicios Pacific International S.A. (ETRASERPISA),Inactiva
anterior,Rutas 2500,2503,#298C2F,La B,San Martín de Porres,Lima,Empresa de Transportes Urbano Rápido Villa María S.A.C. (ETURVIMSAC),Inactiva
anterior,Rutas 2500,2504,#FF8CFF,La B,San Martín de Porres,Lima,Empresa de Transportes y Servicios 29 de Junio S.A. (ETSJUSA),Inactiva
anterior,Rutas 2500,2505,#FF2424,La B,San Martín de Porres,Lima,Empresa de Transportes y Servicios Armonía 5 S.A. (ETSACSA),Inactiva
anterior,Rutas 2500,2506,#008C12,La ETO,Los Olivos,Santa Anita,Empresa de Transportes y Servicios Los Olivos S.A. (ETO),Inactiva
anterior,Rutas 2500,2507,#1E8000,La 28 - La 504,San Martín de Porres,Lima,Empresa de Transportes y Servicios El Porvenir S.A. (ETEPSA),Inactiva
anterior,Rutas 2500,2508,#00FFEE,La 29,San Martín de Porres,Jesús María,Translima S.A.,Inactiva
anterior,Rutas 2500,2509,#FFF700,La B,San Martín de Porres,Lima,Empresa de Transporte Urbano Rápido Villa María S.A.C. (ETURVIMSAC),Inactiva
anterior,Rutas 2500,2510,#036900,Ninguno,Independencia,San Miguel,Empresa de Transportes Alipio Ponce Vásquez S.A. (ETALPOVASA),Activa
anterior,Rutas 2500,2511,#002BD9,Ninguno,San Martín de Porres,San Martín de Porres,Empresa de Transportes Corazón de Jesús de San Diego S.A.,Activa
anterior,Rutas 2500,2512,#FFFFFF,Ninguno,?,?,?,?
anterior,Rutas 2500,2513,#00FFEE,La 29,San Martín de Porres,Jesús María,Translima S.A.,Activa
anterior,Rutas 2600,2601,#FF2626,La 42,Independencia,San Luis,Empresa de Transporte 42M S.A.,Inactiva
anterior,Rutas 2600,2602,#FFBA61,Ninguno,San Martín de Porres,La Victoria,Empresa de Transportes 1.º de Julio S.A.,Inactiva
anterior,Rutas 2600,2603,#F70707,La A,San Martín de Porres,La Victoria,Empresa de Transportes San Juan de La Cruz S.A.C. / Transportes y Servicios Lima Chorrillos S.A. (TRANSLICSA),Activa
anterior,Rutas 2600,2604,#0B148F,La C,San Martín de Porres,La Victoria,Empresa de Transportes De Luxe S.A.C.,Activa
anterior,Rutas 2600,2605,#21FFA6,La 84,Los Olivos,La Victoria,Empresa de Transportes y Servicios Veinte de Marzo S.A. (ETSEVEMSA),Inactiva
anterior,Rutas 2600,2606,#0BA6DB,La D,San Martín de Porres,San Luis,Empresa de Servicios de Transportes El Progreso S.A.C. (ESTEPSAC),Inactiva
anterior,Rutas 2600,2607,#218F00,La 36,Rímac,La Victoria,Empresa Independiente de Transportes S.A. (EITSA),Activa
anterior,Rutas 2600,2608,#0B208C,Ninguno,Rímac,La Victoria,Empresa de Transportes y Servicios Especiales La Bala S.A.,Activa
anterior,Rutas 2600,2609,#FFB34F,Ninguno,Rímac,La Victoria,Empresa de Transporte El Bajopontino S.A.,Activa
anterior,Rutas 2600,2610,#FF2626,Ninguno,Independencia,La Victoria,Empresa de Transportes y Servicios Múltiples Leoncio Prado S.A.,Inactiva
anterior,Rutas 2600,2611,#F20C0C,La B,San Martín de Porres,La Victoria,Transportes y Servicios Lima Chorrillos S.A. (TRANSLICSA),Activa
anterior,Rutas 2600,2612,#00FFEE,La 29,San Martín de Porres,La Victoria,Translima S.A.,Inactiva
anterior,Rutas 2600,2613,#1E8000,La 28 - La 504,San Martín de Porres,Lince,Empresa de Transportes y Servicios El Porvenir S.A. (ETEPSA),Activa
anterior,Rutas 2700,2701,#EB1515,La 44A,San Martín de Porres,Santiago de Surco,Empresa de Transportes Diecisiete de Junio S.A. (ETRADIJUSA),Activa
anterior,Rutas 2700,2702,#FF2424,La 49,San Martín de Porres,Chorrillos,Empresa de Transportes y Servicios Múltiples Rumi S.A. (RUMISA),Activa
anterior,Rutas 2700,2703,#F5CC6C,La 36,San Martín de Porres,Chorrillos,Empresa de Transportes 36 San Martín de Porres S.A. (ET36SMPSA),Activa
anterior,Rutas 2700,2704,#0C0E52,La 60A,San Martín de Porres,Santiago de Surco,Cooperativa de Transporte Comité Cien Ltda.,Inactiva
anterior,Rutas 2800,2801,#EDD500,La 76,San Martín de Porres,Villa María del Triunfo,Empresa de Transportes Generales La Ardilla S.A.C. (ETRAGELAR),Inactiva
anterior,Rutas 2800,2802,#232F94,La 46A,San Martín de Porres,Villa El Salvador,Empresa de Transportes Mariscal Ramón Castilla S.A. (ETMRCSA),Inactiva
anterior,Rutas 2800,2803,#169E11,La 9A,Independencia,Villa María del Triunfo,Transportes Ingaruca S.A.C. (TRAINSAC) / Transportes 17 de Noviembre S.A.,Activa
anterior,Rutas 2800,2804,#B81B1B,El △ - El Triángulo,San Martín de Porres,Villa El Salvador,Línea Peruana de Transportes S.A. (LIPETSA),Activa
anterior,Rutas 2800,2805,#5BD4C8,La A,San Martín de Porres,Villa El Salvador,Empresa de Transportes Sol de Oro S.A.C. (ETSOSAC),Activa
anterior,Rutas 2900,2901,#43B587,La 117,Independencia,Callao,Empresa de Transportes y Servicios 117 S.A. (ETSEDISA),Inactiva
anterior,Rutas 3100,3101,#B5B5B5,La B,San Juan de Lurigancho,Carabayllo,Empresa de Transportes y Servicios Nueva América S.A. (TRANSNASA),Inactiva
anterior,Rutas 3200,3201,#0F8A01,La S2,San Juan de Lurigancho,San Martín de Porres,Empresa de Transportes Especial Solidaridad S.A. (EMTESSA),Inactiva
anterior,Rutas 3200,3202,#F0F3AF,La 2H,San Juan de Lurigancho,San Martín de Porres,Empresa de Transporte y Servicios Huancayo City S.A. (ETHUCSA 2H),Inactiva
anterior,Rutas 3200,3203 / TVE53,#FF00C3,La C - La 128 - La San Germán,San Juan de Lurigancho,San Martín de Porres,Transportes e Inversiones San Germán S.A. (TISGSA),Activa
anterior,Rutas 3200,3204 / TVE31,#0044FF,La SC - La San Ignacio,San Juan de Lurigancho,Rímac,Empresa de Transportes San Ignacio S.A. (ETSISA),Activa
